Rank,Name,Artist,Views,Upload Date
"""Baby Shark Dance""[7]",Pinkfong Baby Shark - Kids' Songs & Stories,15.12,[A],"June 17, 2016"
"""Despacito""[10]",Luis Fonsi,8.55,[B],"January 12, 2017"
"""Johny Johny Yes Papa""[18]",LooLoo Kids - Nursery Rhymes and Children's Songs,6.95,,"October 8, 2016"
"""Bath Song""[19]",Cocomelon - Nursery Rhymes,6.85,,"May 2, 2018"
"""Wheels on the Bus""[20]",Cocomelon - Nursery Rhymes,6.56,,"May 24, 2018"
"""See You Again""[21]",Wiz Khalifa,6.40,[C],"April 6, 2015"
"""Shape of You""[26]",Ed Sheeran,6.33,[D],"January 30, 2017"
"""Phonics Song with Two Words""[29]",ChuChu TV Nursery Rhymes & Kids Songs,6.00,,"March 6, 2014"
"""Uptown Funk""[30]",Mark Ronson,5.33,,"November 19, 2014"
"""Gangnam Style""[31]",Psy,5.30,[E],"July 15, 2012"
"""Learning Colors – Colorful Eggs on a Farm""[36]",Miroshka TV,5.15,,"February 27, 2018"
"""Axel F""[37]",Crazy Frog,4.78,,"June 16, 2009"
"""Dame Tu Cosita""[38]",Ultra Records,4.74,,"April 5, 2018"
"""Masha and the Bear – Recipe for Disaster""[39]",Get Movies,4.60,,"January 31, 2012"
"""Baa Baa Black Sheep""[40]",Cocomelon - Nursery Rhymes,4.17,,"June 25, 2018"
"""Lakdi Ki Kathi""[41]",Jingle Toons,4.13,,"June 14, 2018"
"""Sugar""[42]",Maroon 5,4.09,,"January 14, 2015"
"""Counting Stars""[43]",OneRepublic,4.05,,"May 31, 2013"
"""Roar""[44]",Katy Perry,4.03,,"September 5, 2013"
"""Waka Waka (This Time for Africa)""[45]",Shakira,4.01,,"June 4, 2010"
"""Shree Hanuman Chalisa""[46]",T-Series Bhakti Sagar,3.97,,"May 10, 2011"
"""Humpty the train on a fruits ride""[47]",Kiddiestv Hindi - Nursery Rhymes & Kids Songs,3.89,,"January 26, 2018"
"""Sorry""[48]",Justin Bieber,3.84,,"October 22, 2015"
"""Thinking Out Loud""[49]",Ed Sheeran,3.79,,"October 7, 2014"
"""Perfect""[50]",Ed Sheeran,3.78,,"November 9, 2017"
"""Dark Horse""[51]",Katy Perry,3.77,,"February 20, 2014"
"""Let Her Go""[52]",Passenger,3.70,,"July 25, 2012"
"""Faded""[53]",Alan Walker,3.67,,"December 3, 2015"
"""Girls Like You""[54]",Maroon 5,3.65,,"May 31, 2018"
"""Lean On""[55]",Major Lazer Official,3.65,,"March 22, 2015"
