Series,Place,Date,Time
ICC Womens T20 World Cup 2024,"Dubai International Cricket Stadium, Dubai",4 Oct,19:30 IST
ICC Womens T20 World Cup 2024,"Dubai International Cricket Stadium, Dubai",6 Oct,15:30 IST
Bangladesh Tour of India T20 Series 2024,"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",6 Oct,19:00 IST
ICC Womens T20 World Cup 2024,"Dubai International Cricket Stadium, Dubai",9 Oct,19:30 IST
Bangladesh Tour of India T20 Series 2024,"Arun Jaitley Stadium, Delhi",9 Oct,19:00 IST
Bangladesh Tour of India T20 Series 2024,"Rajiv Gandhi International Stadium, Hyderabad",12 Oct,19:00 IST
ICC Womens T20 World Cup 2024,"Sharjah Cricket Stadium, Sharjah",13 Oct,19:30 IST
India Tour of South Africa T20 Series 2024,"Kingsmead, Durban",8 Nov,20:00 IST
India Tour of South Africa T20 Series 2024,"St George's Park, Gqeberha",10 Nov,20:00 IST
India Tour of South Africa T20 Series 2024,"SuperSport Park, Centurion",13 Nov,20:00 IST
India Tour of South Africa T20 Series 2024,"The Wanderers Stadium, Johannesburg",15 Nov,20:00 IST
