house_title,location,emi,price
"3 BHK Flat In Tvh Quadrant, For Sale  In Adyar",Adyar,3.61 Lacs/Month,63000000
2 BHK Flat In Avenue Vistaa For Sale  In Adyar,Adyar,"68,777/Month",12000000
4 BHK Flat In Jyeshta Apartment  For Sale  In Adyar,Adyar,1.48 Lacs/Month,25900000
2 BHK Flat For Sale  In Thiruvanmiyur,Thiruvanmiyur,"34,388/Month",6000000
2 BHK Flat In Ananti Constructions For Sale  In Adyar,Adyar,"68,777/Month",12000000
2 BHK Flat In Land Marvels For Sale  In Thiruvanmiyur,Thiruvanmiyur,"56,168/Month",9800000
"2 BHK Flat In Tnhb Marvel Towers, Indira Nagar For Sale  In Adyar",Adyar,1.49 Lacs/Month,26044000
3 BHK Flat In Sla  Court For Sale  In Adyar,Adyar,2.09 Lacs/Month,36500000
3 BHK Flat In Krishna Enclave For Sale  In Adyar,Adyar,1.2 Lacs/Month,21000000
3 BHK Flat In Bhaggyam Cricket Villa For Sale  In Adyar,Adyar,2.01 Lacs/Month,35000000
4 BHK Flat In Tvh Quadrant For Sale  In Adyar,Adyar,3.95 Lacs/Month,69000000
3 BHK Flat In Tvh Quadrant For Sale  In Adyar,Adyar,3.15 Lacs/Month,55000000
3 BHK Flat In Navins Sankalpa For Sale  In Adyar,Adyar,1.3 Lacs/Month,22700000
2 BHK Flat In Navins Sankalpa For Sale  In Adyar,Adyar,"91,703/Month",16000000
3 BHK Flat In Maple Leaf For Sale  In Adyar,Adyar,"77,374/Month",13500000
2 BHK Flat In Stand Alone Building For Sale  In Adyar,Adyar,"40,120/Month",7000000
2 BHK Flat In Landmarvels Adhitya For Sale  In Lb Road,LB Road,"56,168/Month",9800000
1 BHK House For Sale  In Adyar ,Adyar ,"31,522/Month",5500000
"3 BHK Flat In Mahalakshmi Apartments For Sale  In Kasturba Nagar, Adyar","Kasturba Nagar, Adyar","45,851/Month",8000000
2 BHK Flat In Raja Maliga Apartment For Sale  In Adyar,Adyar,"48,717/Month",8500000
2 BHK Flat In Manian Flats  For Sale  In Adyar,Adyar,"34,388/Month",6000000
1 BHK Flat In Tnhb Flat For Sale  In Adyar,Adyar,"16,048/Month",2800000
3 BHK Flat In Chitra Apartment For Sale  In Besant Nagar,Besant Nagar,2.72 Lacs/Month,47500000
"3 BHK Flat In River Moon Apartment, Mogapair East For Sale  In Mogappair East",Mogappair East,"68,777/Month",12000000
1 BHK Flat In Sai Dharshan For Sale  In Adyar,Adyar,"31,522/Month",5500000
"3 BHK Flat In Kasthurbai Nagar For Sale  In Kasturba Nagar, Adyar","Kasturba Nagar, Adyar",1.66 Lacs/Month,29000000
"3 BHK Flat In Tvh Quadrant, For Sale  In Adyar",Adyar,3.61 Lacs/Month,63000000
2 BHK Flat In Avenue Vistaa For Sale  In Adyar,Adyar,"68,777/Month",12000000
4 BHK Flat In Jyeshta Apartment  For Sale  In Adyar,Adyar,1.48 Lacs/Month,25900000
2 BHK Flat For Sale  In Thiruvanmiyur,Thiruvanmiyur,"34,388/Month",6000000
2 BHK Flat In Ananti Constructions For Sale  In Adyar,Adyar,"68,777/Month",12000000
2 BHK Flat In Land Marvels For Sale  In Thiruvanmiyur,Thiruvanmiyur,"56,168/Month",9800000
"2 BHK Flat In Tnhb Marvel Towers, Indira Nagar For Sale  In Adyar",Adyar,1.49 Lacs/Month,26044000
3 BHK Flat In Sla  Court For Sale  In Adyar,Adyar,2.09 Lacs/Month,36500000
3 BHK Flat In Krishna Enclave For Sale  In Adyar,Adyar,1.2 Lacs/Month,21000000
